Word 1,Word 2,Cosine Similarity,Human Score
FBI,investigation,0.41713533,8.31
investigation,effort,0.23487988,4.59
Mars,water,0.13637155,2.94
Mars,scientist,0.17972103,5.63
news,report,0.31236368,8.16
canyon,landscape,0.24369587,7.53
image,surface,0.12843585,4.56
discovery,space,0.041256413,6.34
water,seepage,0.3931344,6.56
sign,recess,0.048051145,2.38
Wednesday,news,0.26014826,2.22
mile,kilometer,0.7258479,8.66
computer,news,0.1039981,4.47
territory,surface,0.13958475,5.34
atmosphere,landscape,0.2697127,3.69
president,medal,0.069465674,3.0
war,troops,0.4761478,8.13
record,number,0.22208697,6.31
skin,eye,0.3397479,6.22
Japanese,American,0.41248837,6.5
theater,history,0.12982814,3.91
volunteer,motto,0.19127667,2.56
prejudice,recognition,0.11657065,3.0
decoration,valor,0.3227157,5.63
century,year,0.33483714,7.59
century,nation,0.29191473,3.16
delay,racism,0.023803052,1.19
delay,news,0.12586817,3.31
minister,party,0.1715519,6.63
peace,plan,0.119007304,4.75
minority,peace,0.068685606,3.69
attempt,peace,0.061378714,4.25
government,crisis,0.29561764,6.56
deployment,departure,0.27661714,4.25
deployment,withdrawal,0.40605056,5.88
energy,crisis,0.13847883,5.94
announcement,news,0.46733314,7.56
announcement,effort,0.2313061,2.75
stroke,hospital,0.23570412,7.03
disability,death,0.27521104,5.47
victim,emergency,0.1758064,6.47
treatment,recovery,0.24930656,7.91
journal,association,0.1629582,4.97
doctor,personnel,0.16101652,5.0
doctor,liability,0.061160393,5.19
liability,insurance,0.45244476,7.03
school,center,0.14268215,3.44
reason,hypertension,0.07555151,2.31
reason,criterion,0.3923367,5.91
hundred,percent,0.18021876,7.38
Harvard,Yale,0.78176963,8.13
hospital,infrastructure,0.14553331,4.63
death,row,0.15612477,5.25
death,inmate,0.2757277,5.03
lawyer,evidence,0.19860794,6.69
life,death,0.36187774,7.88
life,term,0.22676066,4.5
word,similarity,0.096586876,4.75
board,recommendation,0.321181,4.47
governor,interview,0.11880451,3.25
OPEC,country,0.11948939,5.63
peace,atmosphere,0.13366283,3.69
peace,insurance,0.098187804,2.94
territory,kilometer,0.15408427,5.28
travel,activity,0.1277259,5.0
competition,price,0.17668064,6.44
consumer,confidence,0.1912654,4.13
consumer,energy,0.24616711,4.75
problem,airport,0.10208501,2.38
car,flight,0.14423442,4.94
credit,card,0.268157,8.06
credit,information,0.11662985,5.31
hotel,reservation,0.30282542,8.03
grocery,money,0.12704523,5.94
registration,arrangement,0.11914843,6.0
arrangement,accommodation,0.23056126,5.41
month,hotel,0.12591954,1.81
type,kind,0.66664124,8.97
arrival,hotel,0.15935501,6.0
bed,closet,0.43194792,6.72
closet,clothes,0.4177304,8.0
situation,conclusion,0.18474202,4.81
situation,isolation,0.20984453,3.88
impartiality,interest,0.20375371,5.16
direction,combination,0.09585045,2.25
street,place,0.17753032,6.44
street,avenue,0.3832705,8.88
street,block,0.26695928,6.88
street,children,0.153707,4.94
listing,proximity,0.123604454,2.56
listing,category,0.11038408,6.38
cell,phone,0.2862989,7.81
production,hike,0.018261177,1.75
benchmark,index,0.49516892,4.25
media,trading,0.12612043,3.88
media,gain,0.10171883,2.88
dividend,payment,0.2785916,7.63
dividend,calculation,0.150653,6.48
calculation,computation,0.60769564,8.44
currency,market,0.33829972,7.5
OPEC,oil,0.5333777,8.59
oil,stock,0.22039825,6.34
announcement,production,0.080665946,3.38
announcement,warning,0.24619007,6.0
profit,warning,0.13709338,3.88
profit,loss,0.3419946,7.63
dollar,yen,0.5745357,7.78
dollar,buck,0.2562118,9.22
dollar,profit,0.25337404,7.38
dollar,loss,0.026566725,6.09
computer,software,0.544411,8.5
network,hardware,0.2937781,8.31
phone,equipment,0.1377404,7.13
equipment,maker,0.20798199,5.91
luxury,car,0.24451171,6.47
five,month,0.40400842,3.38
report,gain,0.0999591,3.63
investor,earning,0.0034081487,7.13
liquid,water,0.36535284,7.89
baseball,season,0.26224384,5.97
game,victory,0.33143717,7.03
game,team,0.49665627,7.69
marathon,sprint,0.4636158,7.47
game,series,0.29130793,6.19
game,defeat,0.33298928,6.97
seven,series,0.33100632,3.56
seafood,sea,0.31509075,7.47
seafood,food,0.52955884,8.34
seafood,lobster,0.65440804,8.7
lobster,food,0.30510473,7.81
lobster,wine,0.3194861,5.7
food,preparation,0.17799321,6.22
video,archive,0.17350756,6.34
start,year,0.19018602,4.06
start,match,0.24805231,4.47
game,round,0.27222225,5.97
boxing,round,0.17759256,7.61
championship,tournament,0.6655317,8.36
fighting,defeating,0.3445204,7.41
line,insurance,0.08391072,2.69
day,summer,0.4481317,3.94
summer,drought,0.1637891,7.16
summer,nature,0.12260764,5.63
day,dawn,0.33108574,7.53
nature,environment,0.4028489,8.31
environment,ecology,0.42997628,8.81
nature,man,0.11616963,6.25
man,woman,0.76640135,8.3
man,governor,0.15232418,5.25
murder,manslaughter,0.60576504,8.53
soap,opera,0.19557995,7.94
opera,performance,0.1716747,6.88
life,lesson,0.19252916,5.94
focus,life,0.14205684,4.06
production,crew,0.17930847,6.25
television,film,0.34557018,7.72
lover,quarrel,0.23226583,6.19
viewer,serial,0.23336464,2.97
possibility,girl,0.060037773,1.94
population,development,0.17502305,3.75
morality,importance,0.20534045,3.31
morality,marriage,0.30624136,3.69
Mexico,Brazil,0.495492,7.44
gender,equality,0.50599223,6.41
change,attitude,0.2514271,5.44
family,planning,0.19148837,6.25
opera,industry,0.04291351,2.63
sugar,approach,0.007720572,0.88
practice,institution,0.096776225,3.19
ministry,culture,0.18779543,4.69
problem,challenge,0.46295384,6.75
size,prominence,0.13376705,5.31
country,citizen,0.20985936,7.31
planet,people,0.087047435,5.75
development,issue,0.090107776,3.97
experience,music,0.16575718,3.47
music,project,0.021346124,3.63
glass,metal,0.37073973,5.56
aluminum,metal,0.63757634,7.83
chance,credibility,0.23921894,3.88
exhibit,memorabilia,0.30259302,5.31
concert,virtuoso,0.2857019,6.81
rock,jazz,0.45277113,7.59
museum,theater,0.3325638,7.19
observation,architecture,0.13629395,4.38
space,world,0.12962711,6.53
preservation,world,-0.021470625,6.19
admission,ticket,0.4368832,7.69
shower,thunderstorm,0.3426948,6.31
shower,flood,0.12947936,6.03
weather,forecast,0.36272073,8.34
disaster,area,0.14522833,6.25
governor,office,0.29663557,6.34
architecture,century,0.14309332,3.78
